distrito,cargo,agrupacion_politica,lista,votos
Salta,Presidente y vice,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA - A,2030
Salta,Presidente y vice,UNION DEL CENTRO DEMOCRATICO,APERTURA LIBERAL ARGENTINA - A,65
Salta,Presidente y vice,MOVIMIENTO LIBRES DEL SUR ,AZUL Y ROJO - A,8475
Salta,Presidente y vice,MOVIMIENTO DE ACCION VECINAL,COMPROMISO VECINAL - A,1369
Salta,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,DIGNIDAD - A,1359
Salta,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL - B,1386
Salta,Presidente y vice,POLÃTICA OBRERA,UNIDAD OBRERA - A,4161
Salta,Presidente y vice,PROYECTO JOVEN,COALICIÓN PAZ DEMOCRACIA SOBERANÍA - A,642
Salta,Presidente y vice,PROYECTO JOVEN,PATRIA UNIDA - B,39
Salta,Presidente y vice,PROYECTO JOVEN,TODEX - C,23
Salta,Presidente y vice,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA - A,1466
Salta,Presidente y vice,FRENTE LIBER.AR,DEMOS - A,58
Salta,Presidente y vice,FRENTE LIBER.AR,RECONQUISTA - B,6
Salta,Presidente y vice,FRENTE LIBER.AR,ANTICORRUPCION - C,50
Salta,Presidente y vice,PRINCIPIOS Y VALORES,"1 A - TIERRA, TECHO Y TRABAJO",2257
Salta,Presidente y vice,PRINCIPIOS Y VALORES,2 B - TRANSFORMAR,35
Salta,Presidente y vice,PRINCIPIOS Y VALORES,3 C - TRES BANDERAS,5
Salta,Presidente y vice,PRINCIPIOS Y VALORES,4 D - GENTE DE TRABAJO,14
Salta,Presidente y vice,PRINCIPIOS Y VALORES,5 E - LABORISTA,3
Salta,Presidente y vice,VOTOS NULOS,VOTOS NULOS,11374
Salta,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Salta,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Salta,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,38672
Salta,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,733482
