distrito,cargo,agrupacion_politica,lista,votos
Formosa,Presidente y vice,MOVIMIENTO AL SOCIALISMO,A - IZQUIERDA ANTICAPITALISTA,796
Formosa,Presidente y vice,UNION DEL CENTRO DEMOCRATICO,A - APERTURA LIBERAL ARGENTINA,26
Formosa,Presidente y vice,MOVIMIENTO LIBRES DEL SUR,A - AZUL Y ROJO,1766
Formosa,Presidente y vice,MOVIMIENTO DE ACCION VECINAL,A - COMPROMISO VECINAL,552
Formosa,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,A - DIGNIDAD,335
Formosa,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,B - CONFEDERAL,343
Formosa,Presidente y vice,POLITICA OBRERA,A - UNIDAD OBRERA,727
Formosa,Presidente y vice,PROYECTO JOVEN,A - COALICION PAZ DEMOCRACIA SOBERANIA,39
Formosa,Presidente y vice,PROYECTO JOVEN,B - PATRIA UNIDA,40
Formosa,Presidente y vice,PROYECTO JOVEN,C - TODEX,20
Formosa,Presidente y vice,FRENTE PATRIOTA FEDERAL,A - PRIMERO LA PATRIA,480
Formosa,Presidente y vice,FRENTE LIBER.AR,A - DEMOS,49
Formosa,Presidente y vice,FRENTE LIBER.AR,B - RECONQUISTA,25
Formosa,Presidente y vice,FRENTE LIBER.AR,C - ANTICORRUPCION,43
Formosa,Presidente y vice,JUNTOS POR EL CAMBIO,A - EL CAMBIO DE NUESTRAS VIDAS,22424
Formosa,Presidente y vice,JUNTOS POR EL CAMBIO,B - LA FUERZA DEL CAMBIO,47593
Formosa,Presidente y vice,HACEMOS POR NUESTRO PAÃS,A - HACEMOS,3005
Formosa,Presidente y vice,UNION POR LA PATRIA,A - CELESTE Y BLANCA,146748
Formosa,Presidente y vice,UNION POR LA PATRIA,B - JUSTA Y SOBERANA,4408
Formosa,Presidente y vice,LA LIBERTAD AVANZA,A - LIBERTAD POR SIEMPRE,82866
Formosa,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A - UNIR Y FORTALECER LA IZQUIERDA,1224
Formosa,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B - UNIDAD DE LUCHADORES Y LA IZQUIERDA,795
Formosa,Presidente y vice,PRINCIPIOS Y VALORES,"1A - TIERRA, TECHO Y TRABAJO",3
Formosa,Presidente y vice,PRINCIPIOS Y VALORES,2B - TRANSFORMAR,0
Formosa,Presidente y vice,PRINCIPIOS Y VALORES,3C - TRES BANDERAS,40
Formosa,Presidente y vice,PRINCIPIOS Y VALORES,4D - GENTE DE TRABAJO,33
Formosa,Presidente y vice,PRINCIPIOS Y VALORES,5E - LABORISTA,12
Formosa,Presidente y vice,VOTOS NULOS,VOTOS NULOS,2310
Formosa,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Formosa,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Formosa,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,9906
Formosa,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,326608
