distrito,cargo,agrupacion_politica,lista,votos
Neuquen,Presidente y vice,MOVIMIENTO AL SOCIALISMO,LISTA A IZQUIERDA ANTICAPITALISTA,3115
Neuquen,Presidente y vice,MOVIMIENTO LIBRES DEL SUR,LISTA AZUL Y ROJO,13379
Neuquen,Presidente y vice,MOVIMIENTO DE ACCION VECINAL,LISTA A COMPROMISO VECINAL,1282
Neuquen,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,1637
Neuquen,Presidente y vice,POLITICA OBRERA,LISTA A UNIDAD OBRERA,2063
Neuquen,Presidente y vice,FRENTE PATRIOTA FEDERAL,LISTA A PRIMERO LA PATRIA,1837
Neuquen,Presidente y vice,JUNTOS POR EL CAMBIO,LISTA A EL CAMBIO DE NUESTRAS VIDAS,34012
Neuquen,Presidente y vice,JUNTOS POR EL CAMBIO,LISTA B LA FUERZA DEL CAMBIO,58891
Neuquen,Presidente y vice,HACEMOS POR NUESTRO PAIS,LISTA A HACEMOS,7056
Neuquen,Presidente y vice,UNION POR LA PATRIA,LISTA A CELESTE Y BLANCA,59189
Neuquen,Presidente y vice,UNION POR LA PATRIA,LISTA B JUSTA Y SOBERANA,21652
Neuquen,Presidente y vice,LA LIBERTAD AVANZA,LISTA A LIBERTAD POR SIEMPRE,160577
Neuquen,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,LISTA A UNIR Y FORTALECER LA IZQUIERDA,13680
Neuquen,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,LISTA B UNIDAD DE LUCHADORES Y LA IZQUIERDA,5175
Neuquen,Presidente y vice,PRINCIPIOS Y VALORES,"LISTA 1A TIERRA, TECHO Y TRABAJO",4407
Neuquen,Presidente y vice,VOTOS NULOS,VOTOS NULOS,10254
Neuquen,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Neuquen,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Neuquen,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,23703
Neuquen,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,421909
