distrito,cargo,agrupacion_politica,lista,votos
Cordoba,Presidente y vice,PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,10369
Cordoba,Presidente y vice,PRINCIPIOS Y VALORES,TRANSFORMAR,1919
Cordoba,Presidente y vice,PRINCIPIOS Y VALORES,LABORISTA,1363
Cordoba,Presidente y vice,VOTOS NULOS,VOTOS NULOS,24653
Cordoba,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Cordoba,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Cordoba,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,38337
Cordoba,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,2093538
