distrito,cargo,agrupacion_politica,lista,votos
Mendoza,Presidente y vice,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO-LISTA - A - IZQUIERDA ANTICAPITALISTA,4095
Mendoza,Presidente y vice,UNION DEL CENTRO DEMOCRATICO,UNION DEL CENTRO DEMOCRATICO LISTA -A- APERTURA LIBERAL ARGENTINA,37
Mendoza,Presidente y vice,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR LISTA -A- AZUL Y ROJO,15970
Mendoza,Presidente y vice,MOVIMIENTO DE ACCION VECINAL,MOVIMIENTO DE ACCION VECINAL LISTA-A-COMPROMISO VECINAL,3522
Mendoza,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD LISTA-A-DIGNIDAD,1608
Mendoza,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD LISTA-B-CONFEDERAL,2248
Mendoza,Presidente y vice,POLITICA OBRERA,POLITICA OBRERA LISTA-A-UNIDAD OBRERA,3107
Mendoza,Presidente y vice,PROYECTO JOVEN,PROYECTO JOVEN LISTA-A-COALICION PAZ DEMOCRACIA SOBERANIA,36
Mendoza,Presidente y vice,PROYECTO JOVEN,PROYECTO JOVEN LISTA-B-PATRIA UNIDA,8
Mendoza,Presidente y vice,PROYECTO JOVEN,PROYECTO JOVEN LISTA-C-TODEX,3
Mendoza,Presidente y vice,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL LISTA-A-PRIMERO LA PATRIA,2616
Mendoza,Presidente y vice,FRENTE LIBER.AR,FRENTE LIBER.AR LISTA-A-DEMOS,23
Mendoza,Presidente y vice,FRENTE LIBER.AR,FRENTE LIBER.AR LISTA-B-RECONQUISTA,4
Mendoza,Presidente y vice,FRENTE LIBER.AR,FRENTE LIBER.AR LISTA-C-ANTICORRUPCION,1
Mendoza,Presidente y vice,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO LISTA-A-EL CAMBIO DE NUESTRAS VIDAS,65720
Mendoza,Presidente y vice,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO LISTA-B-LA FUERZA DEL CAMBIO,234598
Mendoza,Presidente y vice,HACEMOS POR NUESTRO PAIS,HACEMOS POR NUESTRO PAIS LISTA-A-HACEMOS,13773
Mendoza,Presidente y vice,UNION POR LA PATRIA,UNION POR LA PATRIA LISTA-A-CELESTE Y BLANCA,144596
Mendoza,Presidente y vice,UNION POR LA PATRIA,UNION POR LA PATRIA LISTA-B-JUSTA Y SOBERANA,35832
Mendoza,Presidente y vice,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA LISTA-A-LIBERTAD POR SIEMPRE,480294
Mendoza,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD LISTA-A-UNIR Y FORTALECER LA IZQUIE,25098
Mendoza,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD LISTA-B-UNIDAD DE LUCHADORES Y LA IZQU,6769
Mendoza,Presidente y vice,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES LISTA-1A-TIERRA TECHO Y TRABAJO,7271
Mendoza,Presidente y vice,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES LISTA-2B-TRANSFORMAR,12
Mendoza,Presidente y vice,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES LISTA-3C-TRES BANDERAS,1
Mendoza,Presidente y vice,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES LISTA-4D-GENTE DE TRABAJO,1
Mendoza,Presidente y vice,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES LISTA-5E-LABORISTA,8
Mendoza,Presidente y vice,VOTOS NULOS,VOTOS NULOS,18672
Mendoza,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Mendoza,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Mendoza,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,19791
Mendoza,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,1085714
