distrito,cargo,agrupacion_politica,lista,votos
Tucuman,Presidente y vice,MOVIMIENTO AL SOCIALISMO,LISTA A IZQUIERDA ANTICAPITALISTA,2996
Tucuman,Presidente y vice,UNION DEL CENTRO DEMOCRATICO,LISTA A APERTURA LIBERAL ARGENTINA,42
Tucuman,Presidente y vice,MOVIMIENTO LIBRES DEL SUR,LISTA A AZUL Y ROJO,15612
Tucuman,Presidente y vice,MOVIMIENTO DE ACCION VECINAL,LISTA A COMPROMISO VECINAL,2019
Tucuman,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,1634
Tucuman,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B CONFEDERAL,1611
Tucuman,Presidente y vice,POLITICA OBRERA,LISTA A UNIDAD OBRERA,3413
Tucuman,Presidente y vice,PROYECTO JOVEN,LISTA A COALICION PAZ DEMOCRACIA SOBERANIA,33
Tucuman,Presidente y vice,PROYECTO JOVEN,LISTA B PATRIA UNIDA,1
Tucuman,Presidente y vice,PROYECTO JOVEN,LISTA C TODEX,19
Tucuman,Presidente y vice,FRENTE PATRIOTA FEDERAL,LISTA A PRIMERO LA PATRIA,2946
Tucuman,Presidente y vice,FRENTE LIBER.AR,LISTA A DEMOS,69
Tucuman,Presidente y vice,FRENTE LIBER.AR,LISTA B RECONQUISTA,21
Tucuman,Presidente y vice,FRENTE LIBER.AR,LISTA C ANTICORRUPCION,34
Tucuman,Presidente y vice,JUNTOS POR EL CAMBIO,LISTA A EL CAMBIO DE NUESTRAS VIDAS,103793
Tucuman,Presidente y vice,JUNTOS POR EL CAMBIO,LISTA B LA FUERZA DEL CAMBIO,107001
Tucuman,Presidente y vice,HACEMOS POR NUESTRO PAIS,LISTA A HACEMOS,11120
Tucuman,Presidente y vice,UNION POR LA PATRIA,LISTA A CELESTE Y BLANCA,285832
Tucuman,Presidente y vice,UNION POR LA PATRIA,LISTA B JUSTA Y SOBERANA,33267
Tucuman,Presidente y vice,LA LIBERTAD AVANZA,LISTA A LIBERTAD POR SIEMPRE,350378
Tucuman,Presidente y vice,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - UNIDAD,LISTA A UNIR Y FORTALECER LA IZQUIERDA,10004
Tucuman,Presidente y vice,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - UNIDAD,LISTA B UNIDAD DE LUCHADORES Y LA IZQQUIERA,5974
Tucuman,Presidente y vice,PRINCIPIOS Y VALORES,"LISTA 1 A TIERRA, TECHO Y TRABAJO",1946
Tucuman,Presidente y vice,PRINCIPIOS Y VALORES,LISTA 2 B TRANSFORMAR,34
Tucuman,Presidente y vice,PRINCIPIOS Y VALORES,LISTA 3 C TRES BANDERAS,1
Tucuman,Presidente y vice,PRINCIPIOS Y VALORES,LISTA 4 D GENTE DE TRABAJO,5
Tucuman,Presidente y vice,PRINCIPIOS Y VALORES,LISTA 5 E LABORISTA,9
Tucuman,Presidente y vice,VOTOS NULOS,VOTOS NULOS,11485
Tucuman,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Tucuman,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Tucuman,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,37836
Tucuman,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,989135
