distrito,cargo,agrupacion_politica,lista,votos
Catamarca,Presidente y vice,MOVIMIENTO AL SOCIALISMO,A-IZQUIERDA ANTICAPITALISTA,580
Catamarca,Presidente y vice,UNION DEL CENTRO DEMOCRATICO,A-APERTURA LIBERAL ARGENTINA,18
Catamarca,Presidente y vice,MOVIMIENTO LIBRES DEL SUR,A-AZUL Y ROJO,1303
Catamarca,Presidente y vice,MOVIMIENTO DE ACCION VECINAL,A-COMPROMISO VECINAL,403
Catamarca,Presidente y vice,MOVIMIENTO IZQ. JUVENTUD Y DIGNIDAD,A-DIGNIDAD,278
Catamarca,Presidente y vice,MOVIMIENTO IZQ. JUVENTUD Y DIGNIDAD,B-CONFEDERAL,327
Catamarca,Presidente y vice,POLITICA OBRERA,A-UNIDAD OBRERA,808
Catamarca,Presidente y vice,PROYECTO JOVEN,A-COALICION PAZ DEMOCRACIA SOBERANA,9
Catamarca,Presidente y vice,PROYECTO JOVEN,B-PATRIA UNIDA,5
Catamarca,Presidente y vice,PROYECTO JOVEN,C-TODEX,4
Catamarca,Presidente y vice,FRENTE PATRIOTA FEDERAL,A-PRIMERO LA PATRIA,409
Catamarca,Presidente y vice,FRENTE LIBER.AR,A-DEMOS,1
Catamarca,Presidente y vice,FRENTE LIBER.AR,B-RECONQUISTA,19
Catamarca,Presidente y vice,FRENTE LIBER.AR,C-ANTICORRUPCION,5
Catamarca,Presidente y vice,JUNTOS POR EL CAMBIO,A -EL CAMBIO DE NUESTRAS VIDAS | H,21482
Catamarca,Presidente y vice,JUNTOS POR EL CAMBIO,B-LA FUERZA DEL CAMBIO | GANA CATAMARCA A,25842
Catamarca,Presidente y vice,HACEMOS POR NUESTRO PAIS,A-HACEMOS | NVO ESPACIO DE OPINION,3451
Catamarca,Presidente y vice,UNION POR LA PATRIA,A-CELESTE Y BLANCA,89365
Catamarca,Presidente y vice,UNION POR LA PATRIA,B-JUSTA Y SOBERANA,4238
Catamarca,Presidente y vice,LA LIBERTAD AVANZA,A-LIB POR SIEMPRE | UNION EN DESA Y LIBERTAD,56536
Catamarca,Presidente y vice,FTE DE IZQ. Y DE TRABAJADORES-UNIDAD,A-UNIR Y FORTALEZA LA IZQUIERDA,1306
Catamarca,Presidente y vice,FTE DE IZQ. Y DE TRABAJADORES-UNIDAD,B-UNIDAD DE LUCHADORES Y LA IZQ. | 1A,1526
Catamarca,Presidente y vice,PRINCIPIOS Y VALORES,"1A-TIERRA, TECHO Y TRABAJO",82
Catamarca,Presidente y vice,PRINCIPIOS Y VALORES,2B-TRANSFORMAR,66
Catamarca,Presidente y vice,PRINCIPIOS Y VALORES,3C-TRES BANDERAS,3
Catamarca,Presidente y vice,PRINCIPIOS Y VALORES,4D-GENTE DE TRABAJO,3
Catamarca,Presidente y vice,PRINCIPIOS Y VALORES,5E-LABORISTA,1
Catamarca,Presidente y vice,VOTOS NULOS,VOTOS NULOS,1653
Catamarca,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Catamarca,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Catamarca,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,37039
Catamarca,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,246762
