distrito,cargo,agrupacion_politica,lista,votos
Chaco,Presidente y vice,MOVIMIENTO AL SOCIALISMO,LISTA A - IZQUIERDA ANTICAPITALISTA,2508
Chaco,Presidente y vice,UNIÃN DEL CENTRO DEMOCRÃTICO,LISTA A - APERTURA LIBERAL ARGENTINA,18
Chaco,Presidente y vice,PARTIDO MOVIMIENTO LIBRES DEL SUR,LISTA A - AZUL Y ROJO,6275
Chaco,Presidente y vice,MOVIMIENTO DE ACCIÃN VECINAL,LISTA A - COMPROMISO VECINAL,1261
Chaco,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A - DIGNIDAD,1131
Chaco,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B - CONFEDERAL,1177
Chaco,Presidente y vice,POLÃTICA OBRERA,LISTA A - UNIDAD OBRERA,2043
Chaco,Presidente y vice,PARTIDO PROYECTO JOVEN,LISTA A - COALICIÓN PAZ DEMOCRACIA SOBERANÍA,59
Chaco,Presidente y vice,PARTIDO PROYECTO JOVEN,LISTA B - PATRIA UNIDA,108
Chaco,Presidente y vice,PARTIDO PROYECTO JOVEN,LISTA C - TODEX,20
Chaco,Presidente y vice,FRENTE PATRIOTA FEDERAL,LISTA A - PRIMERO LA PATRIA,1443
Chaco,Presidente y vice,FRENTE LIBER.AR,LISTA A - DEMOS,30
Chaco,Presidente y vice,FRENTE LIBER.AR,LISTA B - RECONQUISTA,14
Chaco,Presidente y vice,FRENTE LIBER.AR,LISTA C - ANTICORRUPCIÓN,184
Chaco,Presidente y vice,JUNTOS POR EL CAMBIO,LISTA A - EL CAMBIO DE NUESTRAS VIDAS,71059
Chaco,Presidente y vice,JUNTOS POR EL CAMBIO,LISTA B - LA FUERZA DEL CAMBIO,98072
Chaco,Presidente y vice,HACEMOS POR NUESTRO PAÃS,LISTA A - HACEMOS,9540
Chaco,Presidente y vice,UNIÃN POR LA PATRIA,LISTA A - CELESTE Y BLANCA,203642
Chaco,Presidente y vice,UNIÃN POR LA PATRIA,LISTA B - JUSTA Y SOBERANA,17534
Chaco,Presidente y vice,LA LIBERTAD AVANZA,LISTA A - LIBERTAD POR SIEMPRE,183705
Chaco,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,LISTA A - UNIR Y FORTALECER LA IZQUIERDA,4062
Chaco,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,LISTA B - UNIDAD DE LUCHADORES Y LA IZQUIERDA,4188
Chaco,Presidente y vice,PRINCIPIOS Y VALORES,"LISTA 1A - TIERRA, TECHO Y TRABAJO",4131
Chaco,Presidente y vice,PRINCIPIOS Y VALORES,LISTA 2B - TRANSFORMAR,68
Chaco,Presidente y vice,PRINCIPIOS Y VALORES,LISTA 3C - TRES BANDERAS,5
Chaco,Presidente y vice,PRINCIPIOS Y VALORES,LISTA 4D - GENTE DE TRABAJO,7
Chaco,Presidente y vice,PRINCIPIOS Y VALORES,LISTA 5E - LABORISTA,7
Chaco,Presidente y vice,VOTOS NULOS,VOTOS NULOS,5233
Chaco,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Chaco,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Chaco,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,27397
Chaco,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,644921
