distrito,cargo,agrupacion_politica,lista,votos
Jujuy,Presidente y vice,MAS MOVIMIENTO AL SOCIALISMO,A-IZQUIERDA ANTICAPITALISTA,1142
Jujuy,Presidente y vice,UCEDE-UNIÃN DEL CENTRO DEMOCRÃTICO,A-APERTURA LIBERAL ARGENTINA,8
Jujuy,Presidente y vice,PARTIDO MOVIMIENTO LIRES DEL SUR,A-AZUL Y ROJO,1587
Jujuy,Presidente y vice,MOVIMIENTO DE ACCIÃN VECINAL,A-COMPROMISO VECINAL,856
Jujuy,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,A-DIGNIDAD,713
Jujuy,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,B-CONFEDERAL,841
Jujuy,Presidente y vice,POLITICA OBRERA,A-UNIDAD OBRERA,1488
Jujuy,Presidente y vice,PARTIDO PROYECTO JOVEN,A-COALICIÓN PAZ DEMOCRACIA SOBERANIA,14
Jujuy,Presidente y vice,PARTIDO PROYECTO JOVEN,B-PATRIA UNIDA,7
Jujuy,Presidente y vice,PARTIDO PROYECTO JOVEN,C-TODEX,3
Jujuy,Presidente y vice,FRENTE PATRIOTA FEDERAL,A-PRIMERO LA PATRIA,972
Jujuy,Presidente y vice,FRENTE LIBER.AR,A-DEMOS,80
Jujuy,Presidente y vice,FRENTE LIBER.AR,B-RECONQUISTA,15
Jujuy,Presidente y vice,FRENTE LIBER.AR,C-ANTICORRUPCIÓN,109
Jujuy,Presidente y vice,JUNTOS POR EL CAMBIO,A-ELCAMBIO DE NUESTRAS VIDAS,78920
Jujuy,Presidente y vice,JUNTOS POR EL CAMBIO,B-LA FUERZA DEL CAMBIO,24644
Jujuy,Presidente y vice,HACEMOS POR NUESTRO PAIS,A-HACEMOS,7348
Jujuy,Presidente y vice,UNION POR LA PATRIA,A-CELESTE Y BLANCA,74674
Jujuy,Presidente y vice,UNION POR LA PATRIA,B-JUSTA Y SOBERANA,15625
Jujuy,Presidente y vice,LA LIBERTAD AVANZA,A-LIBERTAD POR SIEMPRE,172886
Jujuy,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,A-UNIR Y FORTALECER LA IZQUIERDA,22387
Jujuy,Presidente y vice,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,B-UNIDAD DE LUCHADORES Y LA IZQUIERDA,6844
Jujuy,Presidente y vice,PRINCIPIOS Y VALORES,"1A-TIERRA,TECHO Y TRABAJO",2891
Jujuy,Presidente y vice,PRINCIPIOS Y VALORES,2B-TRANSFORMAR,10
Jujuy,Presidente y vice,PRINCIPIOS Y VALORES,3C-TRES BANDERAS,6
Jujuy,Presidente y vice,PRINCIPIOS Y VALORES,4D-GENTE DE TRABAJO,6
Jujuy,Presidente y vice,PRINCIPIOS Y VALORES,5E-LABORISTA,4
Jujuy,Presidente y vice,VOTOS NULOS,VOTOS NULOS,5949
Jujuy,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Jujuy,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Jujuy,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,22474
Jujuy,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,442503
