distrito,cargo,agrupacion_politica,lista,votos
Cordoba,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,9946
Cordoba,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,TRANSFORMAR,1890
Cordoba,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,24107
Cordoba,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Cordoba,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Cordoba,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,77419
Cordoba,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,2093538
