distrito,cargo,agrupacion_politica,lista,votos
Chaco,Parlamentario mercosur dn,MOVIMIENTO AL SOCIALISMO,LISTA A - IZQUIERDA ANTICAPITALISTA,2480
Chaco,Parlamentario mercosur dn,PARTIDO MOVIMIENTO LIBRES DEL SUR,LISTA A - AZUL Y ROJO,6184
Chaco,Parlamentario mercosur dn,MOVIMIENTO DE ACCIÃN VECINAL,LISTA A - COMPROMISO VECINAL,1296
Chaco,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A - DIGNIDAD,1130
Chaco,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA B - CONFEDERAL,1141
Chaco,Parlamentario mercosur dn,POLÃTICA OBRERA,LISTA A - UNIDAD OBRERA,2034
Chaco,Parlamentario mercosur dn,PARTIDO PROYECTO JOVEN,LISTA A - COALICIÓN PAZ DEMOCRACIA SOBERANÍA,59
Chaco,Parlamentario mercosur dn,PARTIDO PROYECTO JOVEN,LISTA C - TODEX,18
Chaco,Parlamentario mercosur dn,PARTIDO PROYECTO JOVEN,LISTA D - NUEVA DEMOCRACIA,13
Chaco,Parlamentario mercosur dn,FRENTE PATRIOTA FEDERAL,LISTA A - PRIMERO LA PATRIA,1431
Chaco,Parlamentario mercosur dn,FRENTE LIBER.AR,LISTA A - DEMOS,66
Chaco,Parlamentario mercosur dn,FRENTE LIBER.AR,LISTA C - ANTICORRUPCIÓN,161
Chaco,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,LISTA A - EL CAMBIO DE NUESTRAS VIDAS,70724
Chaco,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,LISTA B - LA FUERZA DEL CAMBIO,96918
Chaco,Parlamentario mercosur dn,HACEMOS POR NUESTRO PAÃS,LISTA A - HACEMOS,9232
Chaco,Parlamentario mercosur dn,UNIÃN POR LA PATRIA,LISTA A - CELESTE Y BLANCA,211938
Chaco,Parlamentario mercosur dn,LA LIBERTAD AVANZA,LISTA A - LIBERTAD POR SIEMPRE,172959
Chaco,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,LISTA A - UNIR Y FORTALECER LA IZQUIERDA,3704
Chaco,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,LISTA B - UNIDAD DE LUCHADORES Y LA IZQUIERDA,4103
Chaco,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,"LISTA 1A - TIERRA, TECHO Y TRABAJO",3997
Chaco,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,LISTA 2B - TRANSFORMAR,61
Chaco,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,5020
Chaco,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Chaco,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Chaco,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,50252
Chaco,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,644921
