distrito,cargo,agrupacion_politica,lista,votos
Salta,Parlamentario mercosur dn,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA - A,2005
Salta,Parlamentario mercosur dn,MOVIMIENTO LIBRES DEL SUR ,AZUL Y ROJO - A,8605
Salta,Parlamentario mercosur dn,MOVIMIENTO DE ACCION VECINAL,COMPROMISO VECINAL - A,1367
Salta,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,DIGNIDAD - A,1338
Salta,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,CONFEDERAL - B,1313
Salta,Parlamentario mercosur dn,POLÃTICA OBRERA,UNIDAD OBRERA - A,4319
Salta,Parlamentario mercosur dn,PROYECTO JOVEN,COALICIÓN PAZ DEMOCRACIA SOBERANÍA - A,646
Salta,Parlamentario mercosur dn,PROYECTO JOVEN,TODEX - C,10
Salta,Parlamentario mercosur dn,PROYECTO JOVEN,NUEVA DEMOCRACIA - D,20
Salta,Parlamentario mercosur dn,FRENTE PATRIOTA FEDERAL,PRIMERO LA PATRIA - A,1469
Salta,Parlamentario mercosur dn,FRENTE LIBER.AR,DEMOS - A,47
Salta,Parlamentario mercosur dn,FRENTE LIBER.AR,ANTICORRUPCION - C,85
Salta,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,"1 A - TIERRA, TECHO Y TRABAJO",2082
Salta,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,2 B - TRANSFORMAR,34
Salta,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,7055
Salta,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Salta,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Salta,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,96704
Salta,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,733482
