distrito,cargo,agrupacion_politica,lista,votos
Mendoza,Parlamentario mercosur dn,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO-LISTA - A - IZQUIERDA ANTICAPITALISTA,4071
Mendoza,Parlamentario mercosur dn,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR LISTA -A- AZUL Y ROJO,16033
Mendoza,Parlamentario mercosur dn,MOVIMIENTO DE ACCION VECINAL,MOVIMIENTO DE ACCION VECINAL LISTA-A-COMPROMISO VECINAL,3550
Mendoza,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD LISTA-A-DIGNIDAD,1650
Mendoza,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD LISTA-B-CONFEDERAL,2221
Mendoza,Parlamentario mercosur dn,POLITICA OBRERA,POLITICA OBRERA LISTA-A-UNIDAD OBRERA,3121
Mendoza,Parlamentario mercosur dn,PROYECTO JOVEN,PROYECTO JOVEN LISTA-A-COALICION PAZ DEMOCRACIA SOBERANIA,31
Mendoza,Parlamentario mercosur dn,PROYECTO JOVEN,PROYECTO JOVEN LISTA-C-TODEX,4
Mendoza,Parlamentario mercosur dn,PROYECTO JOVEN,PROYECTO JOVEN LISTA-D-NUEVA DEMOCRACIA,5
Mendoza,Parlamentario mercosur dn,FRENTE PATRIOTA FEDERAL,FRENTE PATRIOTA FEDERAL LISTA-A-PRIMERO LA PATRIA,2633
Mendoza,Parlamentario mercosur dn,FRENTE LIBER.AR,FRENTE LIBER.AR LISTA-A-DEMOS,22
Mendoza,Parlamentario mercosur dn,FRENTE LIBER.AR,FRENTE LIBER.AR LISTA-C-ANTICORRUPCION,5
Mendoza,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO LISTA-A-EL CAMBIO DE NUESTRAS VIDAS,64680
Mendoza,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO LISTA-B-LA FUERZA DEL CAMBIO,232905
Mendoza,Parlamentario mercosur dn,HACEMOS POR NUESTRO PAIS,HACEMOS POR NUESTRO PAIS LISTA-A-HACEMOS,13187
Mendoza,Parlamentario mercosur dn,UNION POR LA PATRIA,UNION POR LA PATRIA LISTA-A-CELESTE Y BLANCA,175038
Mendoza,Parlamentario mercosur dn,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA LISTA-A-LIBERTAD POR SIEMPRE,471272
Mendoza,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD LISTA-A-UNIR Y FORTALECER LA IZQUIE,25395
Mendoza,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD LISTA-B-UNIDAD DE LUCHADORES Y LA IZQU,6844
Mendoza,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES LISTA-1A-TIERRA TECHO Y TRABAJO,7137
Mendoza,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES LISTA-2B-TRANSFORMAR,18
Mendoza,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,18485
Mendoza,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Mendoza,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Mendoza,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,37407
Mendoza,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,1085714
