distrito,cargo,agrupacion_politica,lista,votos
Formosa,Parlamentario mercosur dn,MOVIMIENTO AL SOCIALISMO,A - IZQUIERDA ANTICAPITALISTA,797
Formosa,Parlamentario mercosur dn,MOVIMIENTO LIBRES DEL SUR,A - AZUL Y ROJO,1726
Formosa,Parlamentario mercosur dn,MOVIMIENTO DE ACCION VECINAL,A - COMPROMISO VECINAL,547
Formosa,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,A - DIGNIDAD,349
Formosa,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,B - CONFEDERAL,339
Formosa,Parlamentario mercosur dn,POLITICA OBRERA,A - UNIDAD OBRERA,738
Formosa,Parlamentario mercosur dn,PROYECTO JOVEN,A - COALICION PAZ DEMOCRACIA SOBERANIA,39
Formosa,Parlamentario mercosur dn,PROYECTO JOVEN,C - TODEX,20
Formosa,Parlamentario mercosur dn,PROYECTO JOVEN,D - NUEVA DEMOCRACIA,15
Formosa,Parlamentario mercosur dn,FRENTE PATRIOTA FEDERAL,A - PRIMERO LA PATRIA,479
Formosa,Parlamentario mercosur dn,FRENTE LIBER.AR,A - DEMOS,47
Formosa,Parlamentario mercosur dn,FRENTE LIBER.AR,C - ANTICORRUPCION,45
Formosa,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,A - EL CAMBIO DE NUESTRAS VIDAS,22817
Formosa,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,B - LA FUERZA DEL CAMBIO,44902
Formosa,Parlamentario mercosur dn,HACEMOS POR NUESTRO PAÃS,A - HACEMOS,2786
Formosa,Parlamentario mercosur dn,UNION POR LA PATRIA,A - CELESTE Y BLANCA,148296
Formosa,Parlamentario mercosur dn,LA LIBERTAD AVANZA,A - LIBERTAD POR SIEMPRE,77766
Formosa,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A - UNIR Y FORTALECER LA IZQUIERDA,1212
Formosa,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B - UNIDAD DE LUCHADORES Y LA IZQUIERDA,801
Formosa,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,"1A - TIERRA, TECHO Y TRABAJO",4
Formosa,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,2B - TRANSFORMAR,2
Formosa,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,2259
Formosa,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Formosa,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Formosa,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,20622
Formosa,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,326608
