distrito,cargo,agrupacion_politica,lista,votos
Misiones,Parlamentario mercosur dn,MOVIMIENTO AL SOCIALISMO,LISTA A IZQUIERDA ANTICAPITALISTA,3717
Misiones,Parlamentario mercosur dn,MOVIMIENTO LIBRES DEL SUR,LISTA A AZUL Y ROJO,4723
Misiones,Parlamentario mercosur dn,MOVIMIENTO DE ACCION VECINAL,LISTA A COMPROMISO VECINAL,1973
Misiones,Parlamentario mercosur dn,MOVIIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,569
Misiones,Parlamentario mercosur dn,MOVIIENTO IZQUIERDA JUVENTUD DIGNIDAD,LIST B CONFEDERAL,1086
Misiones,Parlamentario mercosur dn,POLITICA OBRERA,LISTA A UNIDAD OBRERA,3043
Misiones,Parlamentario mercosur dn,PARTIDO PROYECTO JOVEN,LISTA A COALICICION PAZ DEMOCRACIA SOBERANA,57
Misiones,Parlamentario mercosur dn,PARTIDO PROYECTO JOVEN,LISTA C TODEX,16
Misiones,Parlamentario mercosur dn,PARTIDO PROYECTO JOVEN,LISTA D NUEVA DEMOCRACIA,35
Misiones,Parlamentario mercosur dn,PARTIDO FRENTE PATRIOTA FEDEDRAL,LISTA A PRIMERO LA PATRIA,3052
Misiones,Parlamentario mercosur dn,FRENTE LIBER.AR,LISTA A DEMOS,107
Misiones,Parlamentario mercosur dn,FRENTE LIBER.AR,LISTA C ANTICORRUPCION,180
Misiones,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,LISTA A EL CAMBIO DE NUESTRAS VIDAS,39829
Misiones,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,LISTA B LA FUERZA DEL CAMBIO,79757
Misiones,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,5083
Misiones,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Misiones,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Misiones,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,62886
Misiones,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,659082
