distrito,cargo,agrupacion_politica,lista,votos
Santa fe,Parlamentario mercosur dn,MOVIMIENTO AL SOCIALISMO,A - IZQUIERDA ANTICAPITALISTA,5439
Santa fe,Parlamentario mercosur dn,MOVIMIENTO LIBRES DEL SUR,A - AZUL Y ROJO,5780
Santa fe,Parlamentario mercosur dn,MOVIMIENTO DE ACCION VECINAL,A - COMPROMISO VECINAL,2342
Santa fe,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,A - DIGNIDAD,2286
Santa fe,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,B - CONFEDERAL,4416
Santa fe,Parlamentario mercosur dn,POLITICA OBRERA,A - UNIDAD OBRERA,3583
Santa fe,Parlamentario mercosur dn,PROYECTO JOVEN,A - COALICION PAZ DEMOCRACIA SOBERANIA,1233
Santa fe,Parlamentario mercosur dn,PROYECTO JOVEN,C - TODEX,455
Santa fe,Parlamentario mercosur dn,PROYECTO JOVEN,NUEVA DEMOCRACIA,682
Santa fe,Parlamentario mercosur dn,FRENTE PATRIOTA FEDERAL,A - PRIMERO LA PATRIA,2464
Santa fe,Parlamentario mercosur dn,FRENTE LIBER.AR,A - DEMOS,705
Santa fe,Parlamentario mercosur dn,FRENTE LIBER.AR,C - ANTICORRUPCION,512
Santa fe,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,A - EL CAMBIO DE NUESTRAS VIDAS,206927
Santa fe,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,B - LA FUERZA DEL CAMBIO,371963
Santa fe,Parlamentario mercosur dn,HACEMOS POR NUESTRO PAIS LA FUERZA DE SANTA FE,A - HACEMOS,65195
Santa fe,Parlamentario mercosur dn,UNION POR LA PATRIA,A - CELESTE Y BLANCA,386798
Santa fe,Parlamentario mercosur dn,LA LIBERTAD AVANZA,A-LIBERTAD POR SIEMPRE,645793
Santa fe,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A-UNIR Y FORTALECER LA IZQUIERDA,21998
Santa fe,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,B-UNIDAD DE LUCHADORES Y LA IZQUIERDA,9928
Santa fe,Parlamentario mercosur dn,PRINCIPIOS Y VALORES LEALTAD Y DIGNIDAD,"1A - TIERRA, TECHO Y TRABAJO",24776
Santa fe,Parlamentario mercosur dn,PRINCIPIOS Y VALORES LEALTAD Y DIGNIDAD,2B - TRANSFORMAR,304
Santa fe,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,49353
Santa fe,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Santa fe,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Santa fe,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,115340
Santa fe,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,1928272
