distrito,cargo,agrupacion_politica,lista,votos
Jujuy,Parlamentario mercosur dn,MAS MOVIMIENTO AL SOCIALISMO,A-IZQUIERDA ANTICAPITALISTA,1143
Jujuy,Parlamentario mercosur dn,PARTIDO MOVIMIENTO LIRES DEL SUR,A-AZUL Y ROJO,1547
Jujuy,Parlamentario mercosur dn,MOVIMIENTO DE ACCIÃN VECINAL,A-COMPROMISO VECINAL,871
Jujuy,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,A-DIGNIDAD,708
Jujuy,Parlamentario mercosur dn,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,B-CONFEDERAL,819
Jujuy,Parlamentario mercosur dn,POLITICA OBRERA,A-UNIDAD OBRERA,1552
Jujuy,Parlamentario mercosur dn,PARTIDO PROYECTO JOVEN,A-COALICIÓN PAZ DEMOCRACIA SOBERANIA,16
Jujuy,Parlamentario mercosur dn,PARTIDO PROYECTO JOVEN,C-TODEX,3
Jujuy,Parlamentario mercosur dn,PARTIDO PROYECTO JOVEN,D-NUEVA DEMOCRACIA,3
Jujuy,Parlamentario mercosur dn,FRENTE PATRIOTA FEDERAL,A-PRIMERO LA PATRIA,938
Jujuy,Parlamentario mercosur dn,FRENTE LIBER.AR,A-DEMOS,72
Jujuy,Parlamentario mercosur dn,FRENTE LIBER.AR,C-ANTICORRUPCIÓN,113
Jujuy,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,A-ELCAMBIO DE NUESTRAS VIDAS,75997
Jujuy,Parlamentario mercosur dn,JUNTOS POR EL CAMBIO,B-LA FUERZA DEL CAMBIO,21211
Jujuy,Parlamentario mercosur dn,HACEMOS POR NUESTRO PAIS,A-HACEMOS,5819
Jujuy,Parlamentario mercosur dn,UNION POR LA PATRIA,A-CELESTE Y BLANCA,72627
Jujuy,Parlamentario mercosur dn,LA LIBERTAD AVANZA,A-LIBERTAD POR SIEMPRE,157567
Jujuy,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,A-UNIR Y FORTALECER LA IZQUIERDA,25568
Jujuy,Parlamentario mercosur dn,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,B-UNIDAD DE LUCHADORES Y LA IZQUIERDA,7472
Jujuy,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,"1A-TIERRA,TECHO Y TRABAJO",2697
Jujuy,Parlamentario mercosur dn,PRINCIPIOS Y VALORES,2B-TRANSFORMAR,17
Jujuy,Parlamentario mercosur dn,VOTOS NULOS,VOTOS NULOS,5506
Jujuy,Parlamentario mercosur dn,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Jujuy,Parlamentario mercosur dn,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Jujuy,Parlamentario mercosur dn,VOTOS BLANCO,VOTOS EN BLANCO,60237
Jujuy,Parlamentario mercosur dn,VOTOS TOTALES,VOTOS TOTALES,442503
