distrito,cargo,agrupacion_politica,lista,votos
La_rioja,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
La_rioja,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
La_rioja,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,23138
La_rioja,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,207388
Mendoza,Diputado nacional,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO-LISTA - A - IZQUIERDA ANTICAPITALISTA,4120
Mendoza,Diputado nacional,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR LISTA -A- AZUL Y ROJO,16562
Mendoza,Diputado nacional,CAMBIA MENDOZA,CAMBIA MENDOZA LISTA-A-MENDOZA HACE,295059
Mendoza,Diputado nacional,COMPROMISO FEDERAL,COMPROMISO FEDERAL LISTA-A-HACEMOS UNIDOS POR MENDOZA,13051
Mendoza,Diputado nacional,UNION POR LA PATRIA,UNION POR LA PATRIA LISTA-A-CELESTE Y BLANCA,180922
Mendoza,Diputado nacional,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA LISTA-A-LA LIBERTAD MENDOZA,468072
Mendoza,Diputado nacional,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD LISTA-A-UNIR Y FORTALECER LA IZQUIERDA,25675
Mendoza,Diputado nacional,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD LISTA-B-UNIDAD DE LUCHADORES Y LA IZQU,7121
Mendoza,Diputado nacional,VOTOS NULOS,VOTOS NULOS,18051
Mendoza,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Mendoza,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Mendoza,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,57010
Mendoza,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,1085643
Misiones,Diputado nacional,PARTIDO UNION POPULAR FEDERAL,LISTA P HACEMOS UNIDOS,6222
Misiones,Diputado nacional,PARTIDO DEL OBRERO,LISTA 1 ROJA UNIDAD DE LUCHAORES  Y LA IZQUIERDA,3809
Misiones,Diputado nacional,VOTOS NULOS,VOTOS NULOS,4130
Misiones,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Misiones,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Misiones,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,342940
Misiones,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,659001
Neuquen,Diputado nacional,LIBRES Y SOCIALISTAS,OJALÁ LA TIERRA,12419
Neuquen,Diputado nacional,JUNTOS POR EL CAMBIO,LISTA H EL CAMBIO DE NUESTRAS VIDAS,31462
Neuquen,Diputado nacional,JUNTOS POR EL CAMBIO,LISTA A LA FUERZA DEL CAMBIO,52309
Neuquen,Diputado nacional,UNION POR LA PATRIA,LISTA A CELESTE Y BLANCA,67328
Neuquen,Diputado nacional,ARRIBA NEUQUEN,LISTA A,132991
Neuquen,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,LISTA UNIR Y FORTALECER LA IZQUIERDA,15120
Neuquen,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,LISTA UNIDAD DE LUCHADORES Y LA IZQUIERDA,5915
Neuquen,Diputado nacional,MOVIMIENTO POPULAR NEUQUINO,LISTA LETRA A NEUQUÉN PAÍS,30737
Neuquen,Diputado nacional,MOVIMIENTO POPULAR NEUQUINO,LISTA LETRA B UNIDOS POR NEUQUÉN,5264
Neuquen,Diputado nacional,VOTOS NULOS,VOTOS NULOS,9875
Neuquen,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Neuquen,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Neuquen,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,58409
Neuquen,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,421829
Rio negro,Diputado nacional,MOVIMIENTO AL SOCIALISMO - MAS,MOVIMIENTO AL SOCIALISMO - MAS - A - IZQUIERDA ANTICAPITALISTA,3142
Rio negro,Diputado nacional,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO - A Y C - EL CAMBIO DE NUESTRAS VIDAS,27220
Rio negro,Diputado nacional,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO - B - LA FUERZA DEL CAMBIO,49035
Rio negro,Diputado nacional,UNION POR LA PATRIA,UNION POR LA PATRIA - A - AZUL CELESTE Y BLANCA UNIDAD,90021
Rio negro,Diputado nacional,LA LIBERTAD AVANZA - PARTIDO FE ,"LA LIBERTAD AVANZA - PARTIDO FE - A ""LIBERTAD POR SIEMPRE"" -  A ""CON FE""",134656
Rio negro,Diputado nacional,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD - A - UNIR Y FORTALECER LA IZQUIERDA,9708
