distrito,cargo,agrupacion_politica,lista,votos
Mendoza,Diputado nacional,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO-LISTA - A - IZQUIERDA ANTICAPITALISTA,4120
Mendoza,Diputado nacional,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR LISTA -A- AZUL Y ROJO,16562
Mendoza,Diputado nacional,CAMBIA MENDOZA,CAMBIA MENDOZA LISTA-A-MENDOZA HACE,295059
Mendoza,Diputado nacional,COMPROMISO FEDERAL,COMPROMISO FEDERAL LISTA-A-HACEMOS UNIDOS POR MENDOZA,13051
Mendoza,Diputado nacional,UNION POR LA PATRIA,UNION POR LA PATRIA LISTA-A-CELESTE Y BLANCA,180922
Mendoza,Diputado nacional,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA LISTA-A-LA LIBERTAD MENDOZA,468072
Mendoza,Diputado nacional,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD LISTA-A-UNIR Y FORTALECER LA IZQUIERDA,25675
Mendoza,Diputado nacional,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES-UNIDAD LISTA-B-UNIDAD DE LUCHADORES Y LA IZQU,7121
Mendoza,Diputado nacional,VOTOS NULOS,VOTOS NULOS,18051
Mendoza,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Mendoza,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Mendoza,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,57010
Mendoza,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,1085643
