distrito,cargo,agrupacion_politica,lista,votos
Chaco,Parlamentario mercosur dr,PARTIDO MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,5575
Chaco,Parlamentario mercosur dr,PARTIDO DEL OBRERO,LISTA 1A - UNIDAD DE LUCHADORES Y LA IZQUIERDA,3874
Chaco,Parlamentario mercosur dr,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A,1113
Chaco,Parlamentario mercosur dr,UNIÃN POR LA PATRIA,LISTA J - 17 DE OCTUBRE,210220
Chaco,Parlamentario mercosur dr,JUNTOS POR EL CAMBIO,LISTA A - CHACO CAMBIA,164284
Chaco,Parlamentario mercosur dr,LA LIBERTAD AVANZA,LISTA A,165437
Chaco,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,4724
Chaco,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Chaco,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Chaco,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,89588
Chaco,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,644815
