distrito,cargo,agrupacion_politica,lista,votos
Misiones,Parlamentario mercosur dr,PARTIDO UNION POPULAR FEDERAL,LISTA P HACEMOS UNIDOS,6281
Misiones,Parlamentario mercosur dr,PARTIDO DEL OBRERO,LISTA 1 ROJA UNIDAD DE LUCHAORES  Y LA IZQUIERDA,3772
Misiones,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,4256
Misiones,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Misiones,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Misiones,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,345764
Misiones,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,659001
