distrito,cargo,agrupacion_politica,lista,votos
Tucuman,Parlamentario mercosur dr,MOVIMIENTO LIBRES DEL SUR,LISTA PRIMERO TUCUMAN,18118
Tucuman,Parlamentario mercosur dr,FUERZA REPUBLICANA,LISTA CELESTE Y BLANCA,258489
Tucuman,Parlamentario mercosur dr,POLITICA OBRERA,LISTA 1 UNIDAD OBRERA,4947
Tucuman,Parlamentario mercosur dr,UNION POR LA PATRIA,LISTA 4 CELESTE Y BLANCA,302206
Tucuman,Parlamentario mercosur dr,JUNTOS POR EL CAMBIO,LISTA B EL CAMBIO DE NUESTRAS VIDAS,97219
Tucuman,Parlamentario mercosur dr,JUNTOS POR EL CAMBIO,LISTA C LA FUERZA DEL CAMBIO,112874
Tucuman,Parlamentario mercosur dr,FRENTE DE IZQUIERDA Y DE TRABAJADORES,LISTA A UNIR Y FORTALECER LA IZQUIERDA,10940
Tucuman,Parlamentario mercosur dr,FRENTE DE IZQUIERDA Y DE TRABAJADORES,LISTA B UNIDAD DE LUCHADORES Y LA IZQUIERDA,6541
Tucuman,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,10115
Tucuman,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Tucuman,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Tucuman,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,167298
Tucuman,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,988747
