distrito,cargo,agrupacion_politica,lista,votos
Neuquen,Parlamentario mercosur dr,LIBRES Y SOCIALISTAS,OJALÁ LA TIERRA,12395
Neuquen,Parlamentario mercosur dr,JUNTOS POR EL CAMBIO,LISTA H EL CAMBIO DE NUESTRAS VIDAS,31430
Neuquen,Parlamentario mercosur dr,JUNTOS POR EL CAMBIO,LISTA A LA FUERZA DEL CAMBIO,51935
Neuquen,Parlamentario mercosur dr,UNION POR LA PATRIA,LISTA A CELESTE Y BLANCA,66968
Neuquen,Parlamentario mercosur dr,ARRIBA NEUQUEN,LISTA A,132277
Neuquen,Parlamentario mercosur dr,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,LISTA UNIR Y FORTALECER LA IZQUIERDA,15085
Neuquen,Parlamentario mercosur dr,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,LISTA UNIDAD DE LUCHADORES Y LA IZQUIERDA,5883
Neuquen,Parlamentario mercosur dr,MOVIMIENTO POPULAR NEUQUINO,LISTA LETRA A NEUQUÉN PAÍS,29163
Neuquen,Parlamentario mercosur dr,MOVIMIENTO POPULAR NEUQUINO,LISTA LETRA B UNIDOS POR NEUQUÉN,5109
Neuquen,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,9845
Neuquen,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Neuquen,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Neuquen,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,61739
Neuquen,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,421829
