distrito,cargo,agrupacion_politica,lista,votos
Jujuy,Parlamentario mercosur dr,PARTIDO RENOVADOR FEDERAL,1A-LIBERTAD JUJUY,140752
Jujuy,Parlamentario mercosur dr,MILES-MOV. INTEGRACIÃN LATINOAMERICANA DE EXPRESIÃN SOCIAL,JUJUY TIENE FUTURO CON PRINCIPIOS  Y VALORES,3443
Jujuy,Parlamentario mercosur dr,UNION POR LA PATRIA,A-CELESTE Y BLANCA,22286
Jujuy,Parlamentario mercosur dr,UNION POR LA PATRIA,B-UNIDAD RENOVADORA,37540
Jujuy,Parlamentario mercosur dr,UNION POR LA PATRIA,C-UNION POR JUJUY,33944
Jujuy,Parlamentario mercosur dr,CAMBIA JUJUY,A-SIGAMOS CAMBIANDO JUJUY,74499
Jujuy,Parlamentario mercosur dr,CAMBIA JUJUY,B-LA FUERZA DEL CAMBIO,19816
Jujuy,Parlamentario mercosur dr,CAMBIA JUJUY,C-UNIR AL CAMBIO,2097
Jujuy,Parlamentario mercosur dr,HACEMOS POR NUESTRO PAIS,HACEMOS POR JUJUY,5460
Jujuy,Parlamentario mercosur dr,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD ,A-UNIR Y FORTALECER LA IZQUIERDA,31034
Jujuy,Parlamentario mercosur dr,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD ,B-UNIDAD DE LUCHADORES Y LA IZQUIERDA,8009
Jujuy,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,5361
Jujuy,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Jujuy,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Jujuy,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,58242
Jujuy,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,442483
