distrito,cargo,agrupacion_politica,lista,votos
Salta,Parlamentario mercosur dr,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA - A,2149
Salta,Parlamentario mercosur dr,MOVIMIENTO LIBRES DEL SUR ,AZUL Y ROJO - A,9284
Salta,Parlamentario mercosur dr,POLÃTICA OBRERA,UNIDAD OBRERA - A,4953
Salta,Parlamentario mercosur dr,SI - SALTA INDEPENDIENTE,POR UNA SALTA INDEPENDIENTE - A,15338
Salta,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,7014
Salta,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Salta,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Salta,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,102855
Salta,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,733440
