distrito,cargo,agrupacion_politica,lista,votos
Tierra del fuego,Parlamentario mercosur dr,MOVIMIENTO AL SOCIALISMO,LISTA A- IZQUIERDA ANTICAPITALISTA,963
Tierra del fuego,Parlamentario mercosur dr,UNIÃN POR LA PATRIA,LISTA A - CELESTE Y BLANCA,21339
Tierra del fuego,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,2773
Tierra del fuego,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Tierra del fuego,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Tierra del fuego,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,25859
Tierra del fuego,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,105792
