distrito,cargo,agrupacion_politica,lista,votos
Catamarca,Parlamentario mercosur dr,MOVIMIENTO LIBRES DEL SUR,A-AZUL Y ROJO,1122
Catamarca,Parlamentario mercosur dr,MOVIMIENTO IZQ. JUVENTUD Y DIGNIDAD,A-DIGNIDAD,234
Catamarca,Parlamentario mercosur dr,FRENTE PATRIOTA FEDERAL,A-PRIMERO LA PATRIA,425
Catamarca,Parlamentario mercosur dr,JUNTOS POR EL CAMBIO,A -EL CAMBIO DE NUESTRAS VIDAS | H,20052
Catamarca,Parlamentario mercosur dr,JUNTOS POR EL CAMBIO,B-LA FUERZA DEL CAMBIO | GANA CATAMARCA A,23960
Catamarca,Parlamentario mercosur dr,HACEMOS POR NUESTRO PAIS,A-HACEMOS | NVO ESPACIO DE OPINION,1989
Catamarca,Parlamentario mercosur dr,UNION POR LA PATRIA,A-CELESTE Y BLANCA,94591
Catamarca,Parlamentario mercosur dr,LA LIBERTAD AVANZA,A-LIB POR SIEMPRE | UNION EN DESA Y LIBERTAD,29579
Catamarca,Parlamentario mercosur dr,FTE DE IZQ. Y DE TRABAJADORES-UNIDAD,B-UNIDAD DE LUCHADORES Y LA IZQ. | 1A,1584
Catamarca,Parlamentario mercosur dr,AUTENTICOS LIBERALES CATAMARCA,A-LIBERTARIOS,9
Catamarca,Parlamentario mercosur dr,AUTENTICOS LIBERALES CATAMARCA,B-LIBERTAD CATAMARCA,6
Catamarca,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,1346
Catamarca,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Catamarca,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Catamarca,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,71678
Catamarca,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,246575
