distrito,cargo,agrupacion_politica,lista,votos
Entre rios,Parlamentario mercosur dr,MOVIMIENTO AL SOCIALISMO,A IZQUIERDA ANTICAPITALISTA,1922
Entre rios,Parlamentario mercosur dr,JUNTOS POR ENTRE RIOS,AHORA ENTRE RIOS,214778
Entre rios,Parlamentario mercosur dr,MAS PARA ENTRE RIOS,2A  MAS PARA ENTRE RIOS,231981
Entre rios,Parlamentario mercosur dr,NUEVA IZQUIERDA,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,4008
Entre rios,Parlamentario mercosur dr,VOTOS NULOS,VOTOS NULOS,8784
Entre rios,Parlamentario mercosur dr,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Entre rios,Parlamentario mercosur dr,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Entre rios,Parlamentario mercosur dr,VOTOS BLANCO,VOTOS EN BLANCO,286863
Entre rios,Parlamentario mercosur dr,VOTOS TOTALES,VOTOS TOTALES,864630
