distrito,cargo,agrupacion_politica,lista,votos
Tucuman,Diputado nacional,MOVIMIENTO LIBRES DEL SUR,LISTA PRIMERO TUCUMAN,18962
Tucuman,Diputado nacional,FUERZA REPUBLICANA,LISTA CELESTE Y BLANCA,261028
Tucuman,Diputado nacional,POLITICA OBRERA,LISTA 1 UNIDAD OBRERA,5093
Tucuman,Diputado nacional,UNION POR LA PATRIA,LISTA 4 CELESTE Y BLANCA,306270
Tucuman,Diputado nacional,JUNTOS POR EL CAMBIO,LISTA B EL CAMBIO DE NUESTRAS VIDAS,98142
Tucuman,Diputado nacional,JUNTOS POR EL CAMBIO,LISTA C LA FUERZA DEL CAMBIO,120541
Tucuman,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES,LISTA A UNIR Y FORTALECER LA IZQUIERDA,11136
Tucuman,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES,LISTA B UNIDAD DE LUCHADORES Y LA IZQUIERDA,6538
Tucuman,Diputado nacional,VOTOS NULOS,VOTOS NULOS,10510
Tucuman,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Tucuman,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Tucuman,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,150527
Tucuman,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,988747
