distrito,cargo,agrupacion_politica,lista,votos
Neuquen,Diputado nacional,LIBRES Y SOCIALISTAS,OJALÁ LA TIERRA,12419
Neuquen,Diputado nacional,JUNTOS POR EL CAMBIO,LISTA H EL CAMBIO DE NUESTRAS VIDAS,31462
Neuquen,Diputado nacional,JUNTOS POR EL CAMBIO,LISTA A LA FUERZA DEL CAMBIO,52309
Neuquen,Diputado nacional,UNION POR LA PATRIA,LISTA A CELESTE Y BLANCA,67328
Neuquen,Diputado nacional,ARRIBA NEUQUEN,LISTA A,132991
Neuquen,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,LISTA UNIR Y FORTALECER LA IZQUIERDA,15120
Neuquen,Diputado nacional,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,LISTA UNIDAD DE LUCHADORES Y LA IZQUIERDA,5915
Neuquen,Diputado nacional,MOVIMIENTO POPULAR NEUQUINO,LISTA LETRA A NEUQUÉN PAÍS,30737
Neuquen,Diputado nacional,MOVIMIENTO POPULAR NEUQUINO,LISTA LETRA B UNIDOS POR NEUQUÉN,5264
Neuquen,Diputado nacional,VOTOS NULOS,VOTOS NULOS,9875
Neuquen,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Neuquen,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Neuquen,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,58409
Neuquen,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,421829
