distrito,cargo,agrupacion_politica,lista,votos
Misiones,Presidente y vice,MOVIMIENTO AL SOCIALISMO,LISTA A IZQUIERDA ANTICAPITALISTA,3749
Misiones,Presidente y vice,UNION DEL CENTRO DEMOCRATICO,LISTA A APERTURA LIBERAL ARGENTINA,46
Misiones,Presidente y vice,MOVIMIENTO LIBRES DEL SUR,LISTA A AZUL Y ROJO,4756
Misiones,Presidente y vice,MOVIMIENTO DE ACCION VECINAL,LISTA A COMPROMISO VECINAL,1965
Misiones,Presidente y vice,MOVIIENTO IZQUIERDA JUVENTUD DIGNIDAD,LISTA A DIGNIDAD,541
Misiones,Presidente y vice,MOVIIENTO IZQUIERDA JUVENTUD DIGNIDAD,LIST B CONFEDERAL,1061
Misiones,Presidente y vice,POLITICA OBRERA,LISTA A UNIDAD OBRERA,3026
Misiones,Presidente y vice,PARTIDO PROYECTO JOVEN,LISTA A COALICICION PAZ DEMOCRACIA SOBERANA,58
Misiones,Presidente y vice,PARTIDO PROYECTO JOVEN,LISTA B PATRIA UNIDA,29
Misiones,Presidente y vice,PARTIDO PROYECTO JOVEN,LISTA C TODEX,21
Misiones,Presidente y vice,PARTIDO FRENTE PATRIOTA FEDEDRAL,LISTA A PRIMERO LA PATRIA,3051
Misiones,Presidente y vice,FRENTE LIBER.AR,LISTA A DEMOS,49
Misiones,Presidente y vice,FRENTE LIBER.AR,LISTA B RECONQUISTA,86
Misiones,Presidente y vice,FRENTE LIBER.AR,LISTA C ANTICORRUPCION,140
Misiones,Presidente y vice,JUNTOS POR EL CAMBIO,LISTA A EL CAMBIO DE NUESTRAS VIDAS,40343
Misiones,Presidente y vice,JUNTOS POR EL CAMBIO,LISTA B LA FUERZA DEL CAMBIO,83101
Misiones,Presidente y vice,VOTOS NULOS,VOTOS NULOS,5503
Misiones,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Misiones,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Misiones,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,31426
Misiones,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,659082
