distrito,cargo,agrupacion_politica,lista,votos
Tierra del fuego,Presidente y vice,MOVIMIENTO AL SOCIALISMO,LISTA A- IZQUIERDA ANTICAPITALISTA,844
Tierra del fuego,Presidente y vice,UNIÃN DEL CENTRO DEMOCRÃTICO,LISTA A - APERTURA LIBERAL ARGENTINA,2
Tierra del fuego,Presidente y vice,MOVIMIENTO LIBRES DEL SUR,LISTA A - AZUL Y ROJO,680
Tierra del fuego,Presidente y vice,MOVIMIENTO DE ACCIÃN VECINAL,LISTA A - COMPROMISO VECINAL,473
Tierra del fuego,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD ,LISTA A - DIGNIDAD,7
Tierra del fuego,Presidente y vice,MOVIMIENTO IZQUIERDA JUVENTUD ,LISTA B - CONFEDERAL,8
Tierra del fuego,Presidente y vice,POLÃTICA OBRERA,LISTA A - UNIDAD OBRERA,737
Tierra del fuego,Presidente y vice,PROYECTO JOVEN,LISTA A - COALICIÓN PAZ DEMOCRACIA SOBERANÍA,0
Tierra del fuego,Presidente y vice,PROYECTO JOVEN,LISTA B - PATRIA UNIDA,1
Tierra del fuego,Presidente y vice,PROYECTO JOVEN,LISTA C - TODEX,0
Tierra del fuego,Presidente y vice,FRENTE PATRIOTA FEDERAL,LISTA A - PRIMERO LA PATRIA,0
Tierra del fuego,Presidente y vice,FRENTE LIBER.AR,LISTA A - DEMOS,0
Tierra del fuego,Presidente y vice,FRENTE LIBER.AR,LISTA B - RECONQUISTA,0
Tierra del fuego,Presidente y vice,FRENTE LIBER.AR,LISTA C - ANTICORRUPCIÓN,0
Tierra del fuego,Presidente y vice,UNIÃN POR LA PATRIA,LISTA A - CELESTE Y BLANCA,23037
Tierra del fuego,Presidente y vice,UNIÃN POR LA PATRIA,LISTA B - JUSTA Y SOBERANA,6899
Tierra del fuego,Presidente y vice,"PRINCIPIOS Y VALORES - POR LA TIERRA, TECHO Y TRABAJO","LISTA 1 A  - TIERRA, TECHO Y TRABAJO",1860
Tierra del fuego,Presidente y vice,"PRINCIPIOS Y VALORES - POR LA TIERRA, TECHO Y TRABAJO",LISTA 2 B - TRANSFORMAR,11
Tierra del fuego,Presidente y vice,"PRINCIPIOS Y VALORES - POR LA TIERRA, TECHO Y TRABAJO",LISTA 3 C - TRES BANDERAS,0
Tierra del fuego,Presidente y vice,"PRINCIPIOS Y VALORES - POR LA TIERRA, TECHO Y TRABAJO",LISTA 4  D - GENTE DE TRABAJO,0
Tierra del fuego,Presidente y vice,"PRINCIPIOS Y VALORES - POR LA TIERRA, TECHO Y TRABAJO",LISTA 5 E - LABORISTA,2
Tierra del fuego,Presidente y vice,VOTOS NULOS,VOTOS NULOS,3853
Tierra del fuego,Presidente y vice,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Tierra del fuego,Presidente y vice,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Tierra del fuego,Presidente y vice,VOTOS BLANCO,VOTOS EN BLANCO,3287
Tierra del fuego,Presidente y vice,VOTOS TOTALES,VOTOS TOTALES,105801
